RP23-100C5.1	ETG51792	Ptpra	Ppp2r1a	Rptpalpha|Ptpa|PTPalpha|RPTRalpha|Rptra	6330556D22Rik|PP2A|PR65	Affinity Capture-Western	Fellner T (2003)	12952889	10090	10090
RP23-135A21.5	RP23-135A21.5	Jun	Jun	Junc|AP-1|c-jun	Junc|AP-1|c-jun	Affinity Capture-Western	Kao YS (2011)	21262356	10090	10090
RP23-135A21.5	ETG12912	Jun	Creb1	Junc|AP-1|c-jun	Creb|AV083133|3526402H21Rik|2310001E10Rik|Creb-1	Affinity Capture-Western	Kao YS (2011)	21262356	10090	10090
ETG116870	ETG14282	Mta1	Fosb	N/A	N/A	Co-localization	Pakala SB (2011)	21258411	10090	10090
ETG14282	ETG116870	Fosb	Mta1	N/A	N/A	Affinity Capture-Western	Pakala SB (2011)	21258411	10090	10090
ETG14282	ETG15182	Fosb	Hdac2	N/A	mRPD3|Yy1bp|D10Wsu179e|YAF1	Affinity Capture-Western	Pakala SB (2011)	21258411	10090	10090
RP23-447J12.1	RP23-15J3.1	Map3k7	Ikbkg	B430101B05|C87327|Tak1	NEMO|1110037D23Rik|AI848108|IKK[g]|AI851264|AW124339	Affinity Capture-Western	Yamanaka Y (2011)	21566132	10090	10090
RP23-15J3.1	ETG22190	Ikbkg	Ubc	NEMO|1110037D23Rik|AI848108|IKK[g]|AI851264|AW124339	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Yamanaka Y (2011)	21566132	10090	10090
RP23-313G3.1	RP23-15J3.1	Traf6	Ikbkg	C630032O20Rik|2310003F17Rik|AI851288	NEMO|1110037D23Rik|AI848108|IKK[g]|AI851264|AW124339	Affinity Capture-Western	Yamanaka Y (2011)	21566132	10090	10090
ETG75788	ETG22393	Smurf1	Wfs1	mKIAA1625|4930431E10Rik	wolframin|AI481085	Affinity Capture-Western	Guo X (2011)	21454619	10090	10090
ETG226830	ETG20020	Smyd2	Polr2a	1110020E07Rik|KMT3C|4930402C15|Zmynd14	220kDa|Rpo2-1|Rpb1	Affinity Capture-Western	Diehl F (2010)	20305823	10090	10090
ETG69726	ETG20020	Smyd3	Polr2a	Zmynd1|2410008A19Rik	220kDa|Rpo2-1|Rpb1	Affinity Capture-Western	Diehl F (2010)	20305823	10090	10090
ETG226830	ETG78455	Smyd2	Helz	1110020E07Rik|KMT3C|4930402C15|Zmynd14	3110078M01Rik|DRHC|9630002H22Rik|AI851979|9430093I07Rik	Affinity Capture-Western	Diehl F (2010)	20305823	10090	10090
RP23-457P12.1	RP23-207E14.3	Tgfbr1	Xiap	ALK5|TbetaRI|Alk-5|TbetaR-I|AU017191	MIHA|mXIAP|IAP3|Birc4|1110015C02Rik|ILP-1|Api3|Aipa	Affinity Capture-Western	Neil JR (2009)	19531477	10090	10090
ETG50873	ETG12043	Park2	Bcl2	PRKN	AW986256|D830018M01Rik|D630044D05Rik|Bcl-2|C430015F12Rik	Affinity Capture-Western	Chen D (2010)	20889974	10090	10090
ETG18022	ETG26419	Nfe2	Mapk8	p45|NF-E2|p45NFE2|45kDa|p45nf-e2	Prkm8|AI849689|JNK|SAPK1|JNK1	Affinity Capture-Western	Lee TL (2010)	19966288	10090	10090
ETG26419	ETG18022	Mapk8	Nfe2	Prkm8|AI849689|JNK|SAPK1|JNK1	p45|NF-E2|p45NFE2|45kDa|p45nf-e2	Affinity Capture-Western	Lee TL (2010)	19966288	10090	10090
ETG12500	ETG22190	Cd3d	Ubc	T3d	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Yang M (1998)	9500786	10090	10090
ETG21473	ETG22190	Tcra	Ubc	Tcralpha|OTTMUSG00000015028	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Yang M (1998)	9500786	10090	10090
ETG170822	ETG19876	Usp33	Robo1	Vdu1|9830169D19Rik|AA409780	AW742721|Gm310|DUTT1|AW494633	Affinity Capture-Western	Yuasa-Kawada J (2009)	19684588	10090	10090
ETG56424	ETG66725	Stub1	Lrrk2	AW046544|2210017D18Rik|0610033N24Rik|Chip|2310040B03Rik	Gm927|9330188B09Rik|AW561911|D630001M17Rik|cI-46|4921513O20Rik	Affinity Capture-Western	Ko HS (2009)	19196961	10090	10090
ETG14082	ETG12633	Fadd	Cflar	Mort1/FADD	A430105C05Rik|FLIP|Cash|Gm9845|c-Flip|FLAME|FLAME-1|ENSMUSG00000072980|2310024N18Rik|I-FLICE|CLARP|Casper|MRIT	Affinity Capture-Western	Chang L (2006)	16469705	10090	10090
ETG14082	ETG12370	Fadd	Casp8	Mort1/FADD	MACH|FLICE|Mch5|CASP-8	Affinity Capture-Western	Chang L (2006)	16469705	10090	10090
ETG12633	ETG22190	Cflar	Ubc	A430105C05Rik|FLIP|Cash|Gm9845|c-Flip|FLAME|FLAME-1|ENSMUSG00000072980|2310024N18Rik|I-FLICE|CLARP|Casper|MRIT	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Chang L (2006)	16469705	10090	10090
RP23-87L24.1	ETG12633	Itch	Cflar	AIP4|8030492O04Rik|C230047C07Rik|6720481N21Rik|A130065M08	A430105C05Rik|FLIP|Cash|Gm9845|c-Flip|FLAME|FLAME-1|ENSMUSG00000072980|2310024N18Rik|I-FLICE|CLARP|Casper|MRIT	Reconstituted Complex	Chang L (2006)	16469705	10090	10090
ETG16590	ETG22190	Kit	Ubc	SOW3|CD117|Gsfsco1|Fdc|Gsfsow3|Ssm|SCO1|Tr-kit|Gsfsco5|W|SCO5|Bs|c-KIT	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Yee NS (1994)	7527401	10090	10090
ETG12914	RP23-298E4.6	Crebbp	Prkcz	p300/CBP|CBP/p300|AW558298|KAT3A|CBP	Pkcz|C80388|zetaPKC|AI098070|aPKCzeta|R74924	Affinity Capture-Western	Wang J (2010)	20152182	10090	10090
ETG22190	ETG12387	Ubc	Ctnnb1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Catnb|Bfc|Mesc	Affinity Capture-Western	Aberle H (1997)	9233789	10090	10090
RP23-56I20.1	RP23-323L8.2	Trp53	Npm1	bbl|bfy|p53|bhy|p44|Tp53	B23|NO38|Npm	Affinity Capture-Western	Li J (2007)	17277230	10090	10090
ETG18817	ETG22190	Plk1	Ubc	Plk|STPK13	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Ferris DK (1998)	9826531	10090	10090
ETG14633	ETG12234	Gli2	Btrc	AW546128	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Reconstituted Complex	Pan Y (2006)	16611981	10090	10090
ETG12234	ETG14633	Btrc	Gli2	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	AW546128	Affinity Capture-Western	Pan Y (2006)	16611981	10090	10090
ETG14265	ETG22190	Fmr1	Ubc	Fmr-1|FMRP	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Hou L (2006)	16908410	10090	10090
ETG18109	ETG22190	Mycn	Ubc	Nmyc|Nmyc-1|c-nmyc|bHLHe37|N-myc|Nmyc1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Spinsanti P (2006)	16987252	10090	10090
ETG22406	RP23-124L1.5	Wld	Vcp	Wlds	3110001E05|CDC48|p97|p97/VCP	Affinity Capture-Western	Laser H (2006)	16371511	10090	10090
ETG22637	RP23-209C6.8	Zap70	Lck	70kDa|TZK|AI327364|mrtle|mur|ZAP-70|Srk	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	Affinity Capture-Western	Reiley WW (2006)	16501569	10090	10090
RP23-209C6.8	ETG74256	Lck	Cyld	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	2900009M21Rik|mKIAA0849|CDMT|C130039D01Rik|CYLD1|EAC|2010013M14Rik	Affinity Capture-Western	Reiley WW (2006)	16501569	10090	10090
RP23-209C6.8	ETG22190	Lck	Ubc	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Reiley WW (2006)	16501569	10090	10090
RP23-141N19.5	RP23-141N19.5	Zswim2	Zswim2	4933437F18Rik|MEX|1700025P14Rik	4933437F18Rik|MEX|1700025P14Rik	Affinity Capture-Western	Nishito Y (2006)	16522193	10090	10090
RP23-170A23.3	ETG20482	Smurf2	Skil	AI649275|AI558114|2810411E22Rik	Skir|sno-dE3|SnoN2|SnoN|sno|9130011J04Rik	Affinity Capture-Western	Tan R (2006)	16959829	10090	10090
ETG20482	ETG22190	Skil	Ubc	Skir|sno-dE3|SnoN2|SnoN|sno|9130011J04Rik	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Tan R (2006)	16959829	10090	10090
ETG12190	ETG211651	Brca2	Fancd2	AW045498|Fancd1|RAB163|AI256696	2410150O07Rik|FA-D2|AU015151|BB137857|FACD|FANCD|FA4|FAD	Affinity Capture-Western	Atanassov BS (2005)	16127665	10090	10090
ETG19252	ETG22190	Dusp1	Ubc	U19515|Ptpn16|mkp-1|3CH134|erp|MKP1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Choi BH (2006)	16537649	10090	10090
ETG17246	DN-491F10.4	Mdm2	Arrb2	1700007J15Rik|AA415488|Mdm-2	AI326910|AW122872|RP23-42P20.7	Biochemical Activity	Shenoy SK (2001)	11588219	10090	10090
ETG67588	ETG12211	Rnf41	Birc6	FLRF|Nrdp1|D10Ertd722e|4933415P08Rik|2210404G21Rik|4930511A05Rik	A430040A19Rik|A430032G04Rik|mKIAA1289|D630005A10Rik|AA501170|Bruce	Affinity Capture-Western	Sippel M (2009)	19527720	10090	10090
ETG67588	RP23-130L11.1	Rnf41	Usp8	FLRF|Nrdp1|D10Ertd722e|4933415P08Rik|2210404G21Rik|4930511A05Rik	AI574262|AW557536|mKIAA0055|Ubpy	Affinity Capture-Western	Sippel M (2009)	19527720	10090	10090
ETG17126	ETG93836	Smad2	Rnf111	Smad-2|Madr2|mMad2|7120426M23Rik|Madh2	ARK|Arkadia	Reconstituted Complex	Mavrakis KJ (2007)	17341133	10090	10090
ETG17126	ETG22190	Smad2	Ubc	Smad-2|Madr2|mMad2|7120426M23Rik|Madh2	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Mavrakis KJ (2007)	17341133	10090	10090
ETG17928	ETG112407	Myog	Egln3	MYF4|bHLHc3|myo	Phd3|AI648162|2610021G09Rik|AI505553|SM-20|Hif-p4h-3	Affinity Capture-Western	Fu J (2007)	17344222	10090	10090
RP23-374O4.2	ETG22190	Nfe2l2	Ubc	Nrf2|AI194320	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	He X (2007)	17420218	10090	10090
ETG50868	ETG22190	Keap1	Ubc	INRF2|mKIAA0132	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	He X (2007)	17420218	10090	10090
ETG50868	RP23-374O4.2	Keap1	Nfe2l2	INRF2|mKIAA0132	Nrf2|AI194320	Affinity Capture-Western	He X (2007)	17420218	10090	10090
ETG30945	RP23-124L1.5	Rnf19a	Vcp	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	3110001E05|CDC48|p97|p97/VCP	Co-fractionation	Ishigaki S (2004)	15456787	10090	10090
ETG30945	RP23-124L1.5	Rnf19a	Vcp	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	3110001E05|CDC48|p97|p97/VCP	Affinity Capture-Western	Ishigaki S (2004)	15456787	10090	10090
ETG56353	ETG19763	Rybp	Ring1	2410018J24Rik|YEAF1|DEDAF	Ring1A	Affinity Capture-Western	Arrigoni R (2006)	17070805	10090	10090
ETG56353	ETG19821	Rybp	Rnf2	2410018J24Rik|YEAF1|DEDAF	AI450156|AI326319|AU019207|dinG|Ring1B	Affinity Capture-Western	Arrigoni R (2006)	17070805	10090	10090
ETG231600	ETG20878	Chfr	Aurka	5730484M20Rik|RNF116|C230082M18	Ayk1|IAK|AIRK1|IAK1|AW539821|AU019385|Ark1|Stk6|Aurora-A	Reconstituted Complex	Yu X (2005)	15793587	10090	10090
RP23-15J3.1	ETG22190	Ikbkg	Ubc	NEMO|1110037D23Rik|AI848108|IKK[g]|AI851264|AW124339	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Yamamoto M (2006)	17114420	10090	10090
ETG12013	RP23-305E10.1	Bach1	Xpo1	6230421P05Rik|AI323795	AA420417|Crm1|Exp1	Reconstituted Complex	Suzuki H (2004)	15175654	10090	10090
ETG415115	ETG13388	Neurl2	Dll1	Ozz|Neur2|Ozz-E3	Delta1	Affinity Capture-Western	Song R (2006)	17003037	10090	10090
RP23-309H19.11-002	RP23-223A11.5	Fbxl20	Skp1a	AI849362|Scr|2610511F20Rik|Fbl2|4632423N09Rik|mKIAA4147|C86145|AL117906	p19Skp1|2610206H23Rik|EMC19|p19A|Tceb1l|SKP1|2610043E24Rik|OCP-II|OCP2|15kDa	Affinity Capture-Western	Yao I (2007)	17803915	10090	10090
RP23-309H19.11-002	ETG26965	Fbxl20	Cul1	AI849362|Scr|2610511F20Rik|Fbl2|4632423N09Rik|mKIAA4147|C86145|AL117906	N/A	Affinity Capture-Western	Yao I (2007)	17803915	10090	10090
RP23-309H19.11-002	ETG116837	Fbxl20	Rims1	AI849362|Scr|2610511F20Rik|Fbl2|4632423N09Rik|mKIAA4147|C86145|AL117906	Serg1|RIM1a|C030033M19Rik|Rim|Rab3ip1|mKIAA0340|RIM1alpha|RIM1	Affinity Capture-Western	Yao I (2007)	17803915	10090	10090
RP23-15J3.1	ETG22190	Ikbkg	Ubc	NEMO|1110037D23Rik|AI848108|IKK[g]|AI851264|AW124339	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Abbott DW (2007)	17562858	10090	10090
RP23-49A12.2	ETG94212	Lyn	Pag1	AA407514|Hck-2	Pag|Cbp|F730007C19Rik	Two-hybrid	Ingley E (2006)	16920712	10090	10090
RP23-49A12.2	ETG94212	Lyn	Pag1	AA407514|Hck-2	Pag|Cbp|F730007C19Rik	Affinity Capture-Western	Ingley E (2006)	16920712	10090	10090
RP23-49A12.2	ETG94212	Lyn	Pag1	AA407514|Hck-2	Pag|Cbp|F730007C19Rik	Biochemical Activity	Ingley E (2006)	16920712	10090	10090
ETG94212	ETG12988	Pag1	Csk	Pag|Cbp|F730007C19Rik	AW212630	Two-hybrid	Ingley E (2006)	16920712	10090	10090
ETG94212	ETG12703	Pag1	Socs1	Pag|Cbp|F730007C19Rik	SSI-1|Cish1|JAB|Cish7|SOCS-1	Two-hybrid	Ingley E (2006)	16920712	10090	10090
ETG12703	ETG94212	Socs1	Pag1	SSI-1|Cish1|JAB|Cish7|SOCS-1	Pag|Cbp|F730007C19Rik	Affinity Capture-Western	Ingley E (2006)	16920712	10090	10090
ETG606496	ETG12388	Gsk3a	Ctnnd1	2700086H06Rik	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	Affinity Capture-Western	Oh M (2009)	19706605	10090	10090
ETG56637	ETG12388	Gsk3b	Ctnnd1	GSK-3beta|8430431H08Rik|GSK3|GSK-3|7330414F15Rik|C86142	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	Affinity Capture-Western	Oh M (2009)	19706605	10090	10090
ETG12388	ETG606496	Ctnnd1	Gsk3a	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	2700086H06Rik	Affinity Capture-Western	Oh M (2009)	19706605	10090	10090
ETG12388	ETG56637	Ctnnd1	Gsk3b	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	GSK-3beta|8430431H08Rik|GSK3|GSK-3|7330414F15Rik|C86142	Affinity Capture-Western	Oh M (2009)	19706605	10090	10090
ETG606496	ETG12388	Gsk3a	Ctnnd1	2700086H06Rik	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	Biochemical Activity	Oh M (2009)	19706605	10090	10090
ETG56637	ETG12388	Gsk3b	Ctnnd1	GSK-3beta|8430431H08Rik|GSK3|GSK-3|7330414F15Rik|C86142	Catns|AU019353|P120|Ctnnd|AA409437|mKIAA0384	Biochemical Activity	Oh M (2009)	19706605	10090	10090
ETG19766	ETG22190	Ripk1	Ubc	D330015H01Rik|Rinp|RIP|Rip1	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Chang M (2009)	19734906	10090	10090
ETG67760	ETG22190	Slc38a2	Ubc	AI316867|ATA2|SAT2|mKIAA1382|5033402L14Rik	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Hatanaka T (2006)	17003038	10090	10090
RP23-209C6.8	ETG54607	Lck	Socs6	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	5830401B18Rik|STATI4|1500012M23Rik|Cish4|SOCS-6|HSPC060|AI447482|Socs4|SSI4|Cis4|STAI4|SOCS-4	Two-hybrid	Choi YB (2010)	20007709	10090	10090
RP23-209C6.8	ETG54607	Lck	Socs6	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	5830401B18Rik|STATI4|1500012M23Rik|Cish4|SOCS-6|HSPC060|AI447482|Socs4|SSI4|Cis4|STAI4|SOCS-4	Reconstituted Complex	Choi YB (2010)	20007709	10090	10090
RP23-209C6.8	ETG54607	Lck	Socs6	Lskt|Hck-3|Lsk|p56Lck|p56[lck]	5830401B18Rik|STATI4|1500012M23Rik|Cish4|SOCS-6|HSPC060|AI447482|Socs4|SSI4|Cis4|STAI4|SOCS-4	Affinity Capture-Western	Choi YB (2010)	20007709	10090	10090
ETG23821	RP23-139J21.11-001	Bace1	Fbxo2	C76936	Fbs2|FBG1|FBX2|Fbs1|Prpl4|NFB42	Affinity Capture-Western	Gong B (2010)	20854419	10090	10090
ETG20655	ETG22190	Sod1	Ubc	Ipo1|SODC|CuZnSOD|Ipo-1|Cu/Zn-SOD|Sod-1|B430204E11Rik	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Abdelmegeed MA (2010)	19660437	10090	10090
ETG330953	ETG12391	Hcn4	Cav3	Hcn3|Bcng3	Cav-3|M-cav|M-caveolin|AI385751|caveolin-3	Affinity Capture-Western	Ryckelynck M (2008)	18956885	10090	10090
ETG12391	ETG330953	Cav3	Hcn4	Cav-3|M-cav|M-caveolin|AI385751|caveolin-3	Hcn3|Bcng3	Affinity Capture-Western	Ryckelynck M (2008)	18956885	10090	10090
ETG26754	RP23-124L1.5	Cops5	Vcp	CSN5|Jab1|Sgn5|Mov34|AI303502	3110001E05|CDC48|p97|p97/VCP	Affinity Capture-Western	Cayli S (2009)	19826004	10090	10090
RP23-124L1.5	ETG26754	Vcp	Cops5	3110001E05|CDC48|p97|p97/VCP	CSN5|Jab1|Sgn5|Mov34|AI303502	Affinity Capture-Western	Cayli S (2009)	19826004	10090	10090
ETG22190	RP23-374O4.2	Ubc	Nfe2l2	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Nrf2|AI194320	Affinity Capture-Western	Rada P (2011)	21245377	10090	10090
RP23-374O4.2	ETG22190	Nfe2l2	Ubc	Nrf2|AI194320	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Reconstituted Complex	Rada P (2011)	21245377	10090	10090
RP23-374O4.2	ETG12234	Nfe2l2	Btrc	Nrf2|AI194320	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Affinity Capture-Western	Rada P (2011)	21245377	10090	10090
ETG12234	RP23-374O4.2	Btrc	Nfe2l2	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Nrf2|AI194320	Affinity Capture-Western	Rada P (2011)	21245377	10090	10090
ETG14836	ETG66894	Gsc	Wwp2	N/A	AW554328|AA690238|AIP2|1300010O06Rik	Affinity Capture-Western	Zou W (2011)	21170031	10090	10090
ETG14836	ETG66894	Gsc	Wwp2	N/A	AW554328|AA690238|AIP2|1300010O06Rik	Reconstituted Complex	Zou W (2011)	21170031	10090	10090
ETG22190	ETG14836	Ubc	Gsc	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	N/A	Affinity Capture-Western	Zou W (2011)	21170031	10090	10090
ETG22190	ETG66894	Ubc	Wwp2	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	AW554328|AA690238|AIP2|1300010O06Rik	Affinity Capture-Western	Zou W (2011)	21170031	10090	10090
ETG50873	RP23-65P13.3	Park2	Abl1	PRKN	AI325092|Abl|c-Abl|E430008G22Rik	Affinity Capture-Western	Ko HS (2010)	20823226	10090	10090
ETG14130	ETG22190	Fcgr2b	Ubc	AI528646|Fcr-2|FcgRII|Ly-m20|Fc[g]RII|CD32|Fcgr2a|LyM-1|Fcgr2|F630109E10Rik|Ly-17|Fcr-3	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Mero P (2006)	16959774	10090	10090
RP23-78H4.1	RP23-130L11.1	Ywhae	Usp8	AU019196	AI574262|AW557536|mKIAA0055|Ubpy	Affinity Capture-Western	Ballif BA (2006)	16944949	10090	10090
ETG12018	ETG17210	Bak1	Mcl1	N-Bak|N-BAK1|Bak	Mcl-1|AW556805	Affinity Capture-Western	Warr MR (2011)	21613222	10090	10090
ETG17210	ETG12018	Mcl1	Bak1	Mcl-1|AW556805	N-Bak|N-BAK1|Bak	Affinity Capture-Western	Warr MR (2011)	21613222	10090	10090
RP23-211L10.4	ETG17210	Huwe1	Mcl1	C80292|Gm1718|C430014N20Rik|Ureb1|Mule|Arf-bp1|LASU1|5430439H10Rik|AU041296|Ib772	Mcl-1|AW556805	Affinity Capture-Western	Warr MR (2011)	21613222	10090	10090
RP23-223A11.5	ETG12234	Skp1a	Btrc	p19Skp1|2610206H23Rik|EMC19|p19A|Tceb1l|SKP1|2610043E24Rik|OCP-II|OCP2|15kDa	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
ETG12234	RP23-223A11.5	Btrc	Skp1a	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	p19Skp1|2610206H23Rik|EMC19|p19A|Tceb1l|SKP1|2610043E24Rik|OCP-II|OCP2|15kDa	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
ETG12234	ETG26965	Btrc	Cul1	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	N/A	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
ETG12234	RP23-223A11.5	Btrc	Skp1a	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	p19Skp1|2610206H23Rik|EMC19|p19A|Tceb1l|SKP1|2610043E24Rik|OCP-II|OCP2|15kDa	Two-hybrid	Hatakeyama S (1999)	10097128	10090	10090
ETG12234	RP23-223A11.5	Btrc	Skp1a	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	p19Skp1|2610206H23Rik|EMC19|p19A|Tceb1l|SKP1|2610043E24Rik|OCP-II|OCP2|15kDa	Reconstituted Complex	Hatakeyama S (1999)	10097128	10090	10090
ETG12234	ETG18035	Btrc	Nfkbia	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Nfkbi|AI462015	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
ETG18035	ETG12234	Nfkbia	Btrc	Nfkbi|AI462015	Beta-Trcp1|b-TrCP|Fbw1a|FWD1|HOS|mKIAA4123|beta-TrCP|Slimb	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
ETG18035	ETG22190	Nfkbia	Ubc	Nfkbi|AI462015	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Hatakeyama S (1999)	10097128	10090	10090
RP23-124L1.6	ETG14087	Fancg	Fanca	Xrcc9|AU041407	AW208693|FACA	Affinity Capture-Western	van de Vrugt HJ (2002)	11918676	10090	10090
ETG14087	RP23-124L1.6	Fanca	Fancg	AW208693|FACA	Xrcc9|AU041407	Affinity Capture-Western	van de Vrugt HJ (2002)	11918676	10090	10090
ETG66583	ETG234311	Exosc1	Ddx60	2610104C07Rik|2610312F07Rik|AI447561|2610035C18Rik	9830118M07	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
ETG109075	ETG234311	Exosc4	Ddx60	Rrp41|1110039I09Rik|1500001N04Rik	9830118M07	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
ETG234311	ETG109075	Ddx60	Exosc4	9830118M07	Rrp41|1110039I09Rik|1500001N04Rik	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
RP23-9F23.2	ETG234311	Ddx58	Ddx60	6430573D20Rik|RIG-I|C330021E21	9830118M07	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
RP23-34J8.2	ETG234311	Ifih1	Ddx60	9130009C22Rik|Helicard|Hlcd|MDA5	9830118M07	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
RP23-390D17.5	ETG234311	Dhx58	Ddx60	B430001I08Rik|LPG2|D11Lgp2e|Lgp2	9830118M07	Affinity Capture-Western	Miyashita M (2011)	21791617	10090	10090
ETG18004	ETG97064	Nek1	Wwtr1	kat|D8Ertd790e	C78399|TAZ|2310058J06Rik|2610021I22Rik	Biochemical Activity	Yim H (2011)	21474562	10090	10090
ETG97064	ETG18004	Wwtr1	Nek1	C78399|TAZ|2310058J06Rik|2610021I22Rik	kat|D8Ertd790e	Affinity Capture-Western	Yim H (2011)	21474562	10090	10090
RP23-468K2.1	ETG17869	Trim32	Myc	3f3|BBS11|1810045E12Rik|Zfp117	Nird|Niard|bHLHe39|Myc2|AU016757	Affinity Capture-Western	Schwamborn JC (2009)	19269368	10090	10090
ETG17869	RP23-468K2.1	Myc	Trim32	Nird|Niard|bHLHe39|Myc2|AU016757	3f3|BBS11|1810045E12Rik|Zfp117	Affinity Capture-Western	Schwamborn JC (2009)	19269368	10090	10090
RP23-468K2.1	RP23-113P22.1	Trim32	Eif2c1	3f3|BBS11|1810045E12Rik|Zfp117	Ago1	Affinity Capture-Western	Schwamborn JC (2009)	19269368	10090	10090
RP23-113P22.1	RP23-468K2.1	Eif2c1	Trim32	Ago1	3f3|BBS11|1810045E12Rik|Zfp117	Affinity Capture-Western	Schwamborn JC (2009)	19269368	10090	10090
RP23-60K23.1	ETG22190	Hsp90aa1	Ubc	hsp4|AL024147|Hsp90|Hspca|Hsp86-1|86kDa|Hsp89|AL024080|89kDa	Rps27a|Ubb|2700054O04Rik|TI-225|Uba52|AI194771	Affinity Capture-Western	Habib GM (2007)	17189825	10090	10090
RP23-60K23.1	ETG12539	Hsp90aa1	Cdc37	hsp4|AL024147|Hsp90|Hspca|Hsp86-1|86kDa|Hsp89|AL024080|89kDa	p50|p50Cdc37	Affinity Capture-Western	Habib GM (2007)	17189825	10090	10090
